track_name,release_year,year_distribution
Callaita,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.5561959654178674, 2020: 0.17146974063400577, 2021: 0.08213256484149856, 2022: 0.1340057636887608, 2023: 0.056195965417867436}"
Calling My Phone,2021,"{2014: 0.0199501246882793, 2015: 0.026184538653366583, 2016: 0.026184538653366583, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.6234413965087282, 2022: 0.18453865336658354, 2023: 0.11970074812967581}"
Calm Down with Selena Gomez,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.24812834224598931, 2023: 0.7518716577540107}"
Calma - Remix,2018,"{2014: 0.1508419921175206, 2015: 0.09888928699390899, 2016: 0.06485130777499104, 2017: 0.0, 2018: 0.0, 2019: 0.0014331780723754925, 2020: 0.2844858473665353, 2021: 0.19562880687925474, 2022: 0.13579362235757794, 2023: 0.0680759584378359}"
Cant Catch Me Now - from The Hunger Games The Ballad of Songbirds  Snakes,2023,"{2014: 0.018518518518518517, 2015: 0.037037037037037035, 2016: 0.09259259259259259, 2017: 0.030864197530864196, 2018: 0.05555555555555555, 2019: 0.037037037037037035, 2020: 0.043209876543209874, 2021: 0.030864197530864196, 2022: 0.006172839506172839, 2023: 0.6481481481481481}"
Caroline,2017,"{2014: 0.07148659626320066, 2015: 0.07798537774167344, 2016: 0.20714865962632006, 2017: 0.3314378554021121, 2018: 0.10560519902518278, 2019: 0.08042242079610074, 2020: 0.05686433793663688, 2021: 0.05117790414297319, 2022: 0.00974817221770918, 2023: 0.008123476848090982}"
Castle on the Hill,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.5300592718035563, 2018: 0.1668077900084674, 2019: 0.10753598645215919, 2020: 0.06943268416596104, 2021: 0.0558848433530906, 2022: 0.03979678238780694, 2023: 0.03048264182895851}"
Chained To The Rhythm,2017,"{2014: 0.008174386920980926, 2015: 0.008174386920980926, 2016: 0.0, 2017: 0.8174386920980926, 2018: 0.07629427792915532, 2019: 0.0326975476839237, 2020: 0.021798365122615803, 2021: 0.008174386920980926, 2022: 0.01907356948228883, 2023: 0.008174386920980926}"
changes,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.20455602045560203, 2019: 0.34402603440260343, 2020: 0.20641562064156208, 2021: 0.08461180846118084, 2022: 0.09902370990237098, 2023: 0.061366806136680614}"
Chill Bill feat J Davi  Spooks,2016,"{2014: 0.0057553956834532375, 2015: 0.030215827338129497, 2016: 0.5093525179856115, 2017: 0.0, 2018: 0.0, 2019: 0.08633093525179857, 2020: 0.10215827338129496, 2021: 0.09064748201438849, 2022: 0.08776978417266187, 2023: 0.08776978417266187}"
China,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.4588910133843212, 2020: 0.37093690248565964, 2021: 0.07074569789674952, 2022: 0.05736137667304015, 2023: 0.04206500956022945}"
Circles,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.2656826568265683, 2020: 0.34501845018450183, 2021: 0.11808118081180811, 2022: 0.14575645756457564, 2023: 0.12546125461254612}"
City Boys,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.003937007874015748, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.003937007874015748, 2023: 0.9921259842519685}"
Cobra,2023,"{2014: 0.1455223880597015, 2015: 0.03731343283582089, 2016: 0.033582089552238806, 2017: 0.05223880597014925, 2018: 0.08582089552238806, 2019: 0.0708955223880597, 2020: 0.0708955223880597, 2021: 0.04477611940298507, 2022: 0.041044776119402986, 2023: 0.417910447761194}"
Cold Heart - PNAU Remix,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.3563096500530223, 2022: 0.4676564156945917, 2023: 0.176033934252386}"
Con Calma,2019,"{2014: 0.013100436681222707, 2015: 0.013100436681222707, 2016: 0.010917030567685589, 2017: 0.0, 2018: 0.0, 2019: 0.6997816593886463, 2020: 0.1408296943231441, 2021: 0.060043668122270744, 2022: 0.03711790393013101, 2023: 0.025109170305676855}"
Congratulations,2016,"{2014: 0.0, 2015: 0.0, 2016: 0.00036075036075036075, 2017: 0.01479076479076479, 2018: 0.2510822510822511, 2019: 0.18903318903318903, 2020: 0.1590909090909091, 2021: 0.021284271284271284, 2022: 0.2132034632034632, 2023: 0.15115440115440115}"
Corazn feat Nego do Borel,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0921595598349381, 2018: 0.6547455295735901, 2019: 0.07702888583218707, 2020: 0.04401650618982118, 2021: 0.037138927097661624, 2022: 0.07015130674002751, 2023: 0.024759284731774415}"
Criminal,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.6085997794928335, 2019: 0.19955898566703417, 2020: 0.06615214994487321, 2021: 0.04520396912899669, 2022: 0.044101433296582136, 2023: 0.03638368246968027}"
Cruel Summer,2019,"{2014: 0.003913894324853229, 2015: 0.0019569471624266144, 2016: 0.0019569471624266144, 2017: 0.0, 2018: 0.0, 2019: 0.08806262230919765, 2020: 0.09295499021526418, 2021: 0.09001956947162426, 2022: 0.09686888454011741, 2023: 0.62426614481409}"
Cupid - Twin Ver,2023,"{2014: 0.1832579185520362, 2015: 0.05656108597285068, 2016: 0.0, 2017: 0.06787330316742081, 2018: 0.01809954751131222, 2019: 0.020361990950226245, 2020: 0.11538461538461539, 2021: 0.11538461538461539, 2022: 0.04751131221719457, 2023: 0.3755656108597285}"
Dance Monkey,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.25, 2020: 0.5424528301886793, 2021: 0.11674528301886793, 2022: 0.0625, 2023: 0.02830188679245283}"
