track_name,release_year,year_distribution
Motley Crew,2021,"{2014: 0.004965243296921549, 2015: 0.0009930486593843098, 2016: 0.004965243296921549, 2017: 0.005958291956305859, 2018: 0.0019860973187686196, 2019: 0.0019860973187686196, 2020: 0.0, 2021: 0.36047666335650447, 2022: 0.5054617676266137, 2023: 0.11320754716981132}"
MotorSport,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.001145475372279496, 2018: 0.6128293241695304, 2019: 0.17983963344788087, 2020: 0.07789232531500573, 2021: 0.058419243986254296, 2022: 0.043528064146620846, 2023: 0.026345933562428408}"
My Love Mine All Mine,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
My Type,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.33993743482794575, 2020: 0.5599582898852972, 2021: 0.043795620437956206, 2022: 0.029197080291970802, 2023: 0.027111574556830033}"
My Universe,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.4632352941176471, 2022: 0.3602941176470588, 2023: 0.17647058823529413}"
Natural,2018,"{2014: 0.09631449631449632, 2015: 0.09828009828009827, 2016: 0.085995085995086, 2017: 0.0, 2018: 0.02113022113022113, 2019: 0.3071253071253071, 2020: 0.12972972972972974, 2021: 0.10417690417690417, 2022: 0.11253071253071253, 2023: 0.04471744471744472}"
Need to Know,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.41040462427745666, 2022: 0.41965317919075146, 2023: 0.1699421965317919}"
Never Be the Same,2018,"{2014: 0.02914572864321608, 2015: 0.017085427135678392, 2016: 0.012060301507537688, 2017: 0.009045226130653266, 2018: 0.6311557788944724, 2019: 0.1185929648241206, 2020: 0.05025125628140704, 2021: 0.054271356783919596, 2022: 0.05527638190954774, 2023: 0.023115577889447236}"
Never Really Over,2019,"{2014: 0.0017301038062283738, 2015: 0.0017301038062283738, 2016: 0.0017301038062283738, 2017: 0.0, 2018: 0.0, 2019: 0.6418685121107266, 2020: 0.19896193771626297, 2021: 0.07093425605536333, 2022: 0.04671280276816609, 2023: 0.03633217993079585}"
Nevermind,2017,"{2014: 0.0, 2015: 0.0007067137809187279, 2016: 0.0, 2017: 0.0, 2018: 0.21625441696113074, 2019: 0.42402826855123676, 2020: 0.13992932862190813, 2021: 0.07703180212014134, 2022: 0.08551236749116607, 2023: 0.05653710247349823}"
New Rules,2017,"{2014: 0.002036659877800407, 2015: 0.0013577732518669382, 2016: 0.0027155465037338763, 2017: 0.0, 2018: 0.3530210454854039, 2019: 0.26001357773251865, 2020: 0.1710794297352342, 2021: 0.09368635437881874, 2022: 0.08282416836388323, 2023: 0.03326544467073999}"
Nice For What,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.1827896512935883, 2019: 0.39707536557930256, 2020: 0.20978627671541059, 2021: 0.07761529808773904, 2022: 0.07086614173228346, 2023: 0.06186726659167604}"
Nice to meet you feat Central Cee,2023,"{2014: 0.019390581717451522, 2015: 0.055401662049861494, 2016: 0.05817174515235457, 2017: 0.008310249307479225, 2018: 0.0664819944598338, 2019: 0.08587257617728532, 2020: 0.06371191135734072, 2021: 0.060941828254847646, 2022: 0.08033240997229917, 2023: 0.5013850415512465}"
Nights Like This feat Ty Dolla ign,2019,"{2014: 0.08708891595615104, 2015: 0.033191230207064555, 2016: 0.028623629719853837, 2017: 0.0006090133982947625, 2018: 0.0006090133982947625, 2019: 0.08465286236297198, 2020: 0.27101096224116933, 2021: 0.220462850182704, 2022: 0.1428136419001218, 2023: 0.13093788063337394}"
No Lie,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.14154411764705882, 2018: 0.18051470588235294, 2019: 0.06654411764705882, 2020: 0.075, 2021: 0.15036764705882352, 2022: 0.2716911764705882, 2023: 0.11433823529411764}"
no tears left to cry,2018,"{2014: 0.006720430107526882, 2015: 0.0076164874551971325, 2016: 0.005376344086021506, 2017: 0.00044802867383512545, 2018: 0.0, 2019: 0.1196236559139785, 2020: 0.4050179211469534, 2021: 0.2163978494623656, 2022: 0.14829749103942652, 2023: 0.09050179211469533}"
Nonstop,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.24312896405919662, 2019: 0.3608174770965469, 2020: 0.142353770260747, 2021: 0.07047216349541931, 2022: 0.09443269908386187, 2023: 0.08879492600422834}"
Nothing Breaks Like a Heart feat Miley Cyrus,2018,"{2014: 0.004562043795620438, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.01551094890510949, 2019: 0.46441605839416056, 2020: 0.145985401459854, 2021: 0.10401459854014598, 2022: 0.18613138686131386, 2023: 0.07937956204379562}"
Oh U Went feat Drake,2023,"{2014: 0.008676789587852495, 2015: 0.019522776572668113, 2016: 0.013015184381778741, 2017: 0.0455531453362256, 2018: 0.006507592190889371, 2019: 0.03470715835140998, 2020: 0.004338394793926247, 2021: 0.004338394793926247, 2022: 0.0, 2023: 0.8633405639913232}"
Ojitos Lindos,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.421760391198044, 2023: 0.578239608801956}"
Old Town Road,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.7281420765027322, 2020: 0.16256830601092895, 2021: 0.05874316939890711, 2022: 0.04234972677595628, 2023: 0.00819672131147541}"
Old Town Road - Remix,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.7281420765027322, 2020: 0.16256830601092895, 2021: 0.05874316939890711, 2022: 0.04234972677595628, 2023: 0.00819672131147541}"
On The Ground,2021,"{2014: 0.01636904761904762, 2015: 0.019345238095238096, 2016: 0.01488095238095238, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.5372023809523809, 2022: 0.23958333333333334, 2023: 0.17261904761904762}"
One in a Million,2023,"{2014: 0.10714285714285714, 2015: 0.03333333333333333, 2016: 0.0, 2017: 0.02857142857142857, 2018: 0.04047619047619048, 2019: 0.05, 2020: 0.02142857142857143, 2021: 0.0, 2022: 0.007142857142857143, 2023: 0.7119047619047619}"
One Kiss with Dua Lipa,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.487152034261242, 2019: 0.15310492505353318, 2020: 0.06638115631691649, 2021: 0.032119914346895075, 2022: 0.19271948608137046, 2023: 0.06852248394004283}"
One Thing Right,2019,"{2014: 0.0018018018018018018, 2015: 0.0018018018018018018, 2016: 0.0018018018018018018, 2017: 0.0012012012012012011, 2018: 0.0006006006006006006, 2019: 0.14834834834834834, 2020: 0.45225225225225224, 2021: 0.18138138138138138, 2022: 0.12792792792792793, 2023: 0.08288288288288288}"
Only Human,2019,"{2014: 0.02185792349726776, 2015: 0.011839708561020037, 2016: 0.01912568306010929, 2017: 0.0, 2018: 0.0, 2019: 0.29143897996357016, 2020: 0.36429872495446264, 2021: 0.12568306010928962, 2022: 0.0947176684881603, 2023: 0.07103825136612021}"
Otro Trago,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.8741721854304636, 2020: 0.08830022075055188, 2021: 0.026490066225165563, 2022: 0.011037527593818985, 2023: 0.0}"
Paint The Town Red,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
Panini,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.6058394160583942, 2020: 0.3083941605839416, 2021: 0.04562043795620438, 2022: 0.03102189781021898, 2023: 0.009124087591240875}"
Paris,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.7133105802047781, 2018: 0.08873720136518772, 2019: 0.052901023890784986, 2020: 0.03924914675767918, 2021: 0.03583617747440273, 2022: 0.04607508532423208, 2023: 0.023890784982935155}"
Party,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.7774244833068362, 2023: 0.22257551669316375}"
Passionfruit,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.45675413022351796, 2018: 0.18561710398445092, 2019: 0.09912536443148688, 2020: 0.07191448007774538, 2021: 0.06025267249757046, 2022: 0.06802721088435375, 2023: 0.05830903790087463}"
Peaches feat Daniel Caesar  Giveon,2021,"{2014: 0.11514522821576763, 2015: 0.09439834024896265, 2016: 0.07365145228215768, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.45643153526970953, 2022: 0.1628630705394191, 2023: 0.0975103734439834}"
Pepas,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.3150557620817844, 2022: 0.5176579925650557, 2023: 0.16728624535315986}"
Perfect,2017,"{2014: 0.0, 2015: 0.001507537688442211, 2016: 0.005527638190954774, 2017: 0.054773869346733665, 2018: 0.37336683417085426, 2019: 0.1748743718592965, 2020: 0.09798994974874371, 2021: 0.08743718592964825, 2022: 0.10703517587939698, 2023: 0.09748743718592964}"
Permission to Dance,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.47820672478206727, 2022: 0.46077210460772106, 2023: 0.06102117061021171}"
Physical,2020,"{2014: 0.0, 2015: 0.024324324324324326, 2016: 0.024324324324324326, 2017: 0.0, 2018: 0.00945945945945946, 2019: 0.005405405405405406, 2020: 0.5662162162162162, 2021: 0.16216216216216217, 2022: 0.11891891891891893, 2023: 0.0891891891891892}"
Piece Of Your Heart,2019,"{2014: 0.02786540483701367, 2015: 0.022082018927444796, 2016: 0.024185068349106203, 2017: 0.0, 2018: 0.0010515247108307045, 2019: 0.029442691903259727, 2020: 0.42218717139852785, 2021: 0.23291272344900105, 2022: 0.14721345951629863, 2023: 0.09305993690851735}"
Plain Jane,2017,"{2014: 0.09700176366843033, 2015: 0.054673721340388004, 2016: 0.027714789619551525, 2017: 0.0, 2018: 0.14991181657848324, 2019: 0.18820861678004536, 2020: 0.20131015369110608, 2021: 0.1395817586293777, 2022: 0.09019904257999496, 2023: 0.05139833711262283}"
Please Me,2019,"{2014: 0.02127659574468085, 2015: 0.018912529550827423, 2016: 0.016548463356973995, 2017: 0.0, 2018: 0.0, 2019: 0.6595744680851063, 2020: 0.10401891252955082, 2021: 0.07801418439716312, 2022: 0.05200945626477541, 2023: 0.04964539007092199}"
Plug Walk,2018,"{2014: 0.0, 2015: 0.0011655011655011655, 2016: 0.0, 2017: 0.0, 2018: 0.5571095571095571, 2019: 0.21095571095571095, 2020: 0.09906759906759907, 2021: 0.06060606060606061, 2022: 0.045454545454545456, 2023: 0.02564102564102564}"
Pop Out feat Lil Tjay,2019,"{2014: 0.029501525940996948, 2015: 0.023397761953204477, 2016: 0.02034587995930824, 2017: 0.0, 2018: 0.0, 2019: 0.4821973550356053, 2020: 0.1861648016276704, 2021: 0.1342828077314344, 2022: 0.0752797558494405, 2023: 0.048830111902339775}"
Popular with Playboi Carti  Madonna - Music from the HBO Original Series,2023,"{2014: 0.0, 2015: 0.0028089887640449437, 2016: 0.0028089887640449437, 2017: 0.0, 2018: 0.0028089887640449437, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 0.9915730337078652}"
positions,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.2313546423135464, 2021: 0.3850837138508371, 2022: 0.2146118721461187, 2023: 0.1689497716894977}"
pov,2020,"{2014: 0.018244013683010263, 2015: 0.01596351197263398, 2016: 0.011402508551881414, 2017: 0.004561003420752566, 2018: 0.004561003420752566, 2019: 0.002280501710376283, 2020: 0.22462941847206386, 2021: 0.41733181299885974, 2022: 0.17559863169897377, 2023: 0.12542759407069556}"
Praise God,2021,"{2014: 0.0, 2015: 0.007757951900698216, 2016: 0.005430566330488751, 2017: 0.0031031807602792862, 2018: 0.0007757951900698216, 2019: 0.004654771140418929, 2020: 0.0031031807602792862, 2021: 0.0031031807602792862, 2022: 0.4057408844065167, 2023: 0.5663304887509697}"
Pray For Me with Kendrick Lamar,2018,"{2014: 0.02663230240549828, 2015: 0.027491408934707903, 2016: 0.029209621993127148, 2017: 0.0, 2018: 0.4424398625429553, 2019: 0.1400343642611684, 2020: 0.09536082474226804, 2021: 0.058419243986254296, 2022: 0.08848797250859107, 2023: 0.09192439862542956}"
Prisoner feat Dua Lipa,2020,"{2014: 0.19359145527369825, 2015: 0.21717846016911438, 2016: 0.15131286159323543, 2017: 0.0004450378282153983, 2018: 0.0, 2019: 0.0, 2020: 0.029372496662216287, 2021: 0.25011125945705387, 2022: 0.12105028927458834, 2023: 0.03693813974187806}"
PROVENZA,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.7290076335877863, 2023: 0.27099236641221375}"
Psycho feat Ty Dolla ign,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.5379609544468547, 2019: 0.3297180043383948, 2020: 0.10629067245119306, 2021: 0.019522776572668113, 2022: 0.005422993492407809, 2023: 0.0010845986984815619}"
Pure Water with Migos,2019,"{2014: 0.008920606601248885, 2015: 0.0, 2016: 0.0026761819803746653, 2017: 0.0026761819803746653, 2018: 0.0, 2019: 0.0008920606601248885, 2020: 0.0053523639607493305, 2021: 0.007136485280999108, 2022: 0.655664585191793, 2023: 0.31668153434433544}"
Quevedo Bzrp Music Sessions Vol 52,2022,"{2014: 0.0011198208286674132, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.4311310190369541, 2023: 0.5677491601343785}"
Rain On Me with Ariana Grande,2020,"{2014: 0.032474804031354984, 2015: 0.03471444568868981, 2016: 0.022396416573348264, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.5319148936170213, 2021: 0.22732362821948487, 2022: 0.09518477043673013, 2023: 0.055991041433370664}"
Ransom,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.19089900110987792, 2020: 0.33962264150943394, 2021: 0.1365149833518313, 2022: 0.19200887902330743, 2023: 0.14095449500554938}"
RAPSTAR,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
Ready For It,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.4388609715242881, 2018: 0.20938023450586266, 2019: 0.13400335008375208, 2020: 0.05360134003350084, 2021: 0.04020100502512563, 2022: 0.04187604690117253, 2023: 0.08207705192629816}"
Redbone,2016,"{2014: 0.0037614185921547557, 2015: 0.0026867275658248252, 2016: 0.0032240730789897904, 2017: 0.03062869425040301, 2018: 0.27028479312197745, 2019: 0.17302525523911874, 2020: 0.16442772702847933, 2021: 0.14132186996238583, 2022: 0.12251477700161204, 2023: 0.08812466415905428}"
Religiously,2023,"{2014: 0.005780346820809248, 2015: 0.002890173410404624, 2016: 0.008670520231213872, 2017: 0.005780346820809248, 2018: 0.0, 2019: 0.002890173410404624, 2020: 0.002890173410404624, 2021: 0.008670520231213872, 2022: 0.0, 2023: 0.9624277456647399}"
Rewrite The Stars,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.3341121495327103, 2019: 0.27710280373831775, 2020: 0.14018691588785046, 2021: 0.12149532710280374, 2022: 0.07850467289719626, 2023: 0.048598130841121495}"
Ric Flair Drip with Metro Boomin,2017,"{2014: 0.0, 2015: 0.0008613264427217916, 2016: 0.002583979328165375, 2017: 0.0, 2018: 0.0017226528854435831, 2019: 0.2885443583118002, 2020: 0.24375538329026702, 2021: 0.1748492678725237, 2022: 0.14900947459086994, 2023: 0.13867355727820843}"
Ride It,2019,"{2014: 0.039361702127659576, 2015: 0.03297872340425532, 2016: 0.02553191489361702, 2017: 0.0, 2018: 0.0, 2019: 0.19361702127659575, 2020: 0.3723404255319149, 2021: 0.12234042553191489, 2022: 0.10425531914893617, 2023: 0.10957446808510639}"
Rise,2018,"{2014: 0.006489292667099286, 2015: 0.006489292667099286, 2016: 0.00973393900064893, 2017: 0.0, 2018: 0.20571057754704739, 2019: 0.4828033744321869, 2020: 0.16158338741077222, 2021: 0.04672290720311486, 2022: 0.06035042180402336, 2023: 0.020116807268007787}"
RITMO Bad Boys For Life,2020,"{2014: 0.059593023255813955, 2015: 0.04505813953488372, 2016: 0.03343023255813953, 2017: 0.0014534883720930232, 2018: 0.0014534883720930232, 2019: 0.0014534883720930232, 2020: 0.688953488372093, 2021: 0.09593023255813954, 2022: 0.05232558139534884, 2023: 0.020348837209302327}"
River feat Ed Sheeran,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.8180404354587869, 2019: 0.09175738724727839, 2020: 0.03265940902021773, 2021: 0.027993779160186624, 2022: 0.017107309486780714, 2023: 0.012441679626749611}"
Robbery,2019,"{2014: 0.005004549590536852, 2015: 0.005004549590536852, 2016: 0.003639672429481347, 2017: 0.00045495905368516835, 2018: 0.0, 2019: 0.20200181983621474, 2020: 0.3289353958143767, 2021: 0.22793448589626933, 2022: 0.14740673339399454, 2023: 0.07961783439490445}"
Rock My Body,2023,"{2014: 0.0, 2015: 0.007766990291262136, 2016: 0.007766990291262136, 2017: 0.017475728155339806, 2018: 0.013592233009708738, 2019: 0.007766990291262136, 2020: 0.007766990291262136, 2021: 0.0, 2022: 0.0, 2023: 0.9378640776699029}"
Rockabye feat Sean Paul  Anne-Marie,2016,"{2014: 0.0, 2015: 0.0, 2016: 0.06921029281277728, 2017: 0.5936113575865128, 2018: 0.16149068322981366, 2019: 0.09228039041703638, 2020: 0.048802129547471165, 2021: 0.02839396628216504, 2022: 0.0008873114463176575, 2023: 0.005323868677905945}"
rockstar feat 21 Savage,2018,"{2014: 0.0006501950585175553, 2015: 0.0006501950585175553, 2016: 0.0, 2017: 0.1625487646293888, 2018: 0.5104031209362809, 2019: 0.17100130039011704, 2020: 0.07737321196358908, 2021: 0.02860858257477243, 2022: 0.032509752925877766, 2023: 0.016254876462938883}"
ROCKSTAR feat Roddy Ricch,2020,"{2014: 0.014605647517039922, 2015: 0.005842259006815969, 2016: 0.013631937682570594, 2017: 0.007789678675754625, 2018: 0.013631937682570594, 2019: 0.10321324245374879, 2020: 0.49756572541382665, 2021: 0.13729308666017526, 2022: 0.11684518013631938, 2023: 0.08958130477117819}"
Rolex,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.06944444444444445, 2018: 0.4962962962962963, 2019: 0.1361111111111111, 2020: 0.12129629629629629, 2021: 0.04722222222222222, 2022: 0.05925925925925926, 2023: 0.07037037037037037}"
Roses - Imanbek Remix,2019,"{2014: 0.03574975173783516, 2015: 0.05660377358490566, 2016: 0.13356504468718966, 2017: 0.0506454816285998, 2018: 0.036742800397219465, 2019: 0.14399205561072492, 2020: 0.3659384309831182, 2021: 0.10278053624627606, 2022: 0.046176762661370406, 2023: 0.027805362462760674}"
ROXANNE,2019,"{2014: 0.07364975450081833, 2015: 0.054009819967266774, 2016: 0.0, 2017: 0.02618657937806874, 2018: 0.01800327332242226, 2019: 0.29296235679214405, 2020: 0.37479541734860883, 2021: 0.07528641571194762, 2022: 0.03600654664484452, 2023: 0.049099836333878884}"
Rumors feat Cardi B,2021,"{2014: 0.0034522439585730723, 2015: 0.0023014959723820483, 2016: 0.0, 2017: 0.004602991944764097, 2018: 0.004602991944764097, 2019: 0.0, 2020: 0.0011507479861910242, 2021: 0.3394706559263521, 2022: 0.4568469505178366, 2023: 0.18757192174913695}"
Running Up That Hill A Deal With God,1985,"{2014: 0.005847953216374269, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.03216374269005848, 2019: 0.03508771929824561, 2020: 0.04093567251461988, 2021: 0.03508771929824561, 2022: 0.7339181286549707, 2023: 0.11695906432748537}"
SAD,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.2880354505169867, 2019: 0.20310192023633677, 2020: 0.16912850812407682, 2021: 0.13884785819793205, 2022: 0.13884785819793205, 2023: 0.0620384047267356}"
Safaera,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.6165644171779141, 2021: 0.02147239263803681, 2022: 0.26993865030674846, 2023: 0.09202453987730061}"
Saturday Sun,2018,"{2014: 0.02948920484465508, 2015: 0.020537124802527645, 2016: 0.007898894154818325, 2017: 0.00105318588730911, 2018: 0.3596629805160611, 2019: 0.19378620326487625, 2020: 0.15481832543443919, 2021: 0.10742496050552923, 2022: 0.0737230121116377, 2023: 0.051606108478146395}"
Savage Love Laxed - Siren Beat,2020,"{2014: 0.04625850340136054, 2015: 0.03537414965986395, 2016: 0.021768707482993196, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.46530612244897956, 2021: 0.2598639455782313, 2022: 0.11156462585034013, 2023: 0.05986394557823129}"
Save That Shit,2017,"{2014: 0.010897768552153606, 2015: 0.005708354955889984, 2016: 0.00467047223663726, 2017: 0.04722366372599896, 2018: 0.3700051894135963, 2019: 0.19875454073689672, 2020: 0.18214841722885314, 2021: 0.08873897249610795, 2022: 0.054488842760768035, 2023: 0.03736377789309808}"
Save Your Tears,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.27530864197530863, 2022: 0.5487654320987654, 2023: 0.17592592592592593}"
Save Your Tears with Ariana Grande Remix,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.27307692307692305, 2022: 0.5455128205128205, 2023: 0.1814102564102564}"
Say So,2019,"{2014: 0.0, 2015: 0.001652892561983471, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.6082644628099173, 2021: 0.21322314049586777, 2022: 0.1140495867768595, 2023: 0.0628099173553719}"
Say Something feat Chris Stapleton,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.6980891719745222, 2019: 0.1592356687898089, 2020: 0.049681528662420385, 2021: 0.03694267515923567, 2022: 0.030573248407643312, 2023: 0.025477707006369428}"
Say You Wont Let Go,2016,"{2014: 0.0, 2015: 0.0, 2016: 0.256989247311828, 2017: 0.3010752688172043, 2018: 0.14838709677419354, 2019: 0.1043010752688172, 2020: 0.08064516129032258, 2021: 0.053763440860215055, 2022: 0.03870967741935484, 2023: 0.016129032258064516}"
Scared to Be Lonely,2017,"{2014: 0.0010178117048346056, 2015: 0.0015267175572519084, 2016: 0.0015267175572519084, 2017: 0.0005089058524173028, 2018: 0.0005089058524173028, 2019: 0.042748091603053436, 2020: 0.4407124681933842, 2021: 0.2340966921119593, 2022: 0.1852417302798982, 2023: 0.09211195928753181}"
Scars To Your Beautiful,2016,"{2014: 0.0, 2015: 0.002649708532061473, 2016: 0.15580286168521462, 2017: 0.31160572337042924, 2018: 0.1266560678325384, 2019: 0.09114997350291468, 2020: 0.09591944886062533, 2021: 0.0996290408055114, 2022: 0.06571277159512454, 2023: 0.05087440381558029}"
Secreto,2019,"{2014: 0.019580419580419582, 2015: 0.016783216783216783, 2016: 0.013986013986013986, 2017: 0.0, 2018: 0.0, 2019: 0.627972027972028, 2020: 0.15244755244755245, 2021: 0.06573426573426573, 2022: 0.06293706293706294, 2023: 0.04055944055944056}"
Self Care,2018,"{2014: 0.000758150113722517, 2015: 0.0018953752843062926, 2016: 0.0011372251705837756, 2017: 0.0011372251705837756, 2018: 0.03790750568612585, 2019: 0.3066717210007581, 2020: 0.22327520849128127, 2021: 0.17210007581501138, 2022: 0.15921152388172857, 2023: 0.09590598938589841}"
Selfish Love with Selena Gomez,2021,"{2014: 0.01557285873192436, 2015: 0.0033370411568409346, 2016: 0.00778642936596218, 2017: 0.002224694104560623, 2018: 0.0033370411568409346, 2019: 0.004449388209121246, 2020: 0.0033370411568409346, 2021: 0.5205784204671857, 2022: 0.2925472747497219, 2023: 0.1468298109010011}"
Seorita,2019,"{2014: 0.06818181818181818, 2015: 0.08021390374331551, 2016: 0.04679144385026738, 2017: 0.0, 2018: 0.0, 2019: 0.4786096256684492, 2020: 0.18850267379679145, 2021: 0.06283422459893048, 2022: 0.045454545454545456, 2023: 0.029411764705882353}"
Seven feat Latto Clean Ver,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
Shallow,2018,"{2014: 0.0113314447592068, 2015: 0.0113314447592068, 2016: 0.013220018885741265, 2017: 0.0, 2018: 0.053824362606232294, 2019: 0.5155807365439093, 2020: 0.16902738432483475, 2021: 0.11142587346553352, 2022: 0.08781869688385269, 2023: 0.02644003777148253}"
Shape of You,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.6139180171591992, 2018: 0.19447092469018112, 2019: 0.08102955195424213, 2020: 0.04194470924690181, 2021: 0.028598665395614873, 2022: 0.027645376549094377, 2023: 0.012392755004766444}"
Shivers,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.22892635314995563, 2022: 0.4862466725820763, 2023: 0.28482697426796805}"
Shotgun,2018,"{2014: 0.08365650969529086, 2015: 0.07977839335180055, 2016: 0.06204986149584488, 2017: 0.0, 2018: 0.27922437673130196, 2019: 0.2997229916897507, 2020: 0.09141274238227147, 2021: 0.04764542936288089, 2022: 0.040997229916897505, 2023: 0.01551246537396122}"
Shotta Flow feat Blueface Remix,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.45338441890166026, 2020: 0.22796934865900384, 2021: 0.1136653895274585, 2022: 0.11621966794380588, 2023: 0.08876117496807152}"
SICKO MODE,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.036036036036036036, 2019: 0.5160875160875161, 2020: 0.22136422136422138, 2021: 0.10167310167310167, 2022: 0.059202059202059204, 2023: 0.06563706563706563}"
Sign of the Times,2017,"{2014: 0.01079136690647482, 2015: 0.01079136690647482, 2016: 0.01079136690647482, 2017: 0.3669064748201439, 2018: 0.16007194244604317, 2019: 0.09622302158273381, 2020: 0.11330935251798561, 2021: 0.09622302158273381, 2022: 0.07733812949640288, 2023: 0.05755395683453238}"
